['GVVVIVLAV', '1.251\r\n']
['YFGHLSFIN', '1.057\r\n']
['IKDFSATHV', '1.057\r\n']
['NLTSFVAGI', '1.057\r\n']
['MIIVPESAS', '1.057\r\n']
['AKKLGALFA', '1.057\r\n']
['IGTCGAISP', '1.057\r\n']
['ELSFQIAQA', '1.057\r\n']
['IDPSTVIAT', '1.057\r\n']
['DNGVFLSVG', '1.057\r\n']
['FNALTVGQI', '1.057\r\n']
['IDPFSADVS', '1.057\r\n']
['FTMLAVGLD', '1.057\r\n']
['VGWLGVNSA', '1.057\r\n']
['ESSAILQAF', '1.057\r\n']
['AFDYKIEVS', '1.057\r\n']
['DILAVGSEA', '1.057\r\n']
['FIFNAGQAV', '1.057\r\n']
['SAGGVIKYA', '1.057\r\n']
['AKDGQTAVC', '1.057\r\n']
['ALSGCAATD', '1.057\r\n']
['NLQAALNLA', '1.057\r\n']
['TYADLFSTL', '1.057\r\n']
['SGVNFSHVG', '1.057\r\n']
['GYIARVKAS', '1.057\r\n']
['KRQILPASI', '1.057\r\n']
['FSEGLHQAL', '1.057\r\n']
['LDNAPLESV', '1.057\r\n']
['ETIIIAPIS', '1.056\r\n']
['PFGIFVEAK', '1.056\r\n']
['YHFEGIRVQ', '1.056\r\n']
['VSFGIFGGI', '1.056\r\n']
['ANLAGIEFV', '1.056\r\n']
['FAPFIGYEI', '1.056\r\n']
['MLIRIYGIA', '1.056\r\n']
['FSNIGAFVA', '1.056\r\n']
['FHMIHFHIG', '1.056\r\n']
['NDLTFAIVS', '1.056\r\n']
['QRIAIARAL', '1.056\r\n']
['QLEEGGILV', '1.056\r\n']
['LGFVITATG', '1.056\r\n']
['FDLIFADPP', '1.056\r\n']
['IHTIGLFAT', '1.056\r\n']
['VILGRAIET', '1.056\r\n']
['YMLLEETIL', '1.056\r\n']
['HDGVLGWVG', '1.056\r\n']
['TTVINIPAF', '1.056\r\n']
['NGFGFVVGY', '1.056\r\n']
['IDAILGAIK', '1.056\r\n']
['VNGIPIYGA', '1.056\r\n']
['IEFGRIGLV', '1.056\r\n']
['GPGAIAGVI', '1.056\r\n']
['FWMWVTGLV', '1.056\r\n']
['FHAAYTFID', '1.056\r\n']
['ALALEFGTI', '1.056\r\n']
['KDAGFVAVE', '1.056\r\n']
['IGCGWGYLS', '1.056\r\n']
['DFYAIIQEI', '1.056\r\n']
['YNIAYAITA', '1.056\r\n']
['YELLFGFGA', '1.056\r\n']
['YNVVRATFD', '1.056\r\n']
['IRARAILAS', '1.056\r\n']
['FTFLGAIAS', '1.056\r\n']
['LKGHNILIS', '1.056\r\n']
['YEPNEILVS', '1.056\r\n']
['LLDGYIARS', '1.056\r\n']
['AKSAPIFAA', '1.056\r\n']
['LKLARGFYS', '1.056\r\n']
['LIGNEPFAV', '1.056\r\n']
['ALGEHVGLE', '1.056\r\n']
['LSVDEAAYE', '1.056\r\n']
['GGSLIILGA', '1.056\r\n']
['FIKENIHAV', '1.056\r\n']
['KYHFETASV', '1.056\r\n']
['VSTTIAQIT', '1.056\r\n']
['LEMTGIECV', '1.056\r\n']
['MIVDAGHEV', '1.056\r\n']
['IDVRFISAT', '1.056\r\n']
['TMLYETAVI', '1.056\r\n']
['FDAEVAYNL', '1.056\r\n']
['IFVAFLGNM', '1.056\r\n']
['NIPAIISAA', '1.056\r\n']
['KFSYGIPIP', '1.056\r\n']
['QSSHEVGVD', '1.056\r\n']
['YLMAIAPTS', '1.056\r\n']
['KAAPRVPIT', '1.056\r\n']
['DLGTYPFVT', '1.056\r\n']
['ALITRYGYA', '1.056\r\n']
['SFNANYFVI', '1.056\r\n']
['VFYATGDTL', '1.056\r\n']
['NIGAFVASF', '1.056\r\n']
['EWIYRGLVA', '1.056\r\n']
['VCATGIGMS', '1.056\r\n']
['YLLNRGARV', '1.056\r\n']
['QRGGVALHP', '1.056\r\n']
['EIQGGLEVL', '1.056\r\n']
['FCPLNAEAK', '1.056\r\n']
['LAANRAYRV', '1.056\r\n']
['IAGGEVVST', '1.056\r\n']
['FGDGAGACV', '1.056\r\n']
['PQDALDAAL', '1.056\r\n']
['KKEGYLAVA', '1.056\r\n']
['NLVNRALAA', '1.056\r\n']
['MLLAYADGI', '1.056\r\n']
['ALNYGADAV', '1.056\r\n']
['YFFLALGGE', '1.056\r\n']
['KWACLDIGA', '1.056\r\n']
['NVNAVVEMA', '1.056\r\n']
['SALAGAIKF', '1.056\r\n']
['EEGVYLGVG', '1.056\r\n']
['YDSLGLIGA', '1.056\r\n']
['TNVVPFGSS', '1.056\r\n']
['NLAPLAATP', '1.056\r\n']
['MLFAFTSLS', '1.056\r\n']
['FHLTFTKIA', '1.056\r\n']
['YTQGGYGVL', '1.056\r\n']
['LFFAHIKTT', '1.056\r\n']
['YGFLDYGYA', '1.056\r\n']
['SNFQEALVA', '1.056\r\n']
['VDYTGIYKA', '1.056\r\n']
['YVKAIDRSA', '1.056\r\n']
['YIRQNAIAL', '1.056\r\n']
['MFIAIAKYA', '1.056\r\n']
['MSTALALPA', '1.056\r\n']
['IKKVHGGYF', '1.056\r\n']
['YAIYGNNYV', '1.056\r\n']
['LELGLAFSD', '1.056\r\n']
['DFSNRVVLG', '1.056\r\n']
['FGALFSFYG', '1.056\r\n']
['YKEQLAAIQ', '1.056\r\n']
['YDVLPGANA', '1.056\r\n']
['AWLSPIEAI', '1.056\r\n']
['QKDGLIQLI', '1.056\r\n']
['GLQFISGCM', '1.056\r\n']
['LNALIGLMA', '1.056\r\n']
['FAYAQPIAM', '1.056\r\n']
['YQNALNALI', '1.056\r\n']
['IEHAKEVIS', '1.056\r\n']
['SLDGLGLLG', '1.056\r\n']
['GLEGASHFV', '1.056\r\n']
['HLGNYLGAI', '1.056\r\n']
['FDLGVAGSF', '1.056\r\n']
['MFYGVSFTY', '1.056\r\n']
['DNGSICVIG', '1.056\r\n']
['GAYAYAQEL', '1.056\r\n']
['SYSILGAMI', '1.056\r\n']
['YIDHSIAPK', '1.056\r\n']
['GAISIIKIS', '1.056\r\n']
['NDFLISTPV', '1.056\r\n']
['NKIARASLV', '1.056\r\n']
['PKLAMAFAI', '1.056\r\n']
['IIRSVGGFF', '1.056\r\n']
['FTTLVPNLG', '1.056\r\n']
['IHSTNFQVA', '1.056\r\n']
['TFPTAMHIV', '1.056\r\n']
['VAKGTDYLA', '1.056\r\n']
['GHMHLGLAI', '1.056\r\n']
['ITSAEGLSV', '1.056\r\n']
['DVKGYIQGL', '1.056\r\n']
['QAIGKIPVD', '1.056\r\n']
['YQMLGLGVG', '1.056\r\n']
['VKGLNILMA', '1.056\r\n']
['YKEAHSVAK', '1.056\r\n']
['SLLGTIKLG', '1.056\r\n']
['VTDGESYVA', '1.056\r\n']
['GLWPIAWII', '1.055\r\n']
['SFEDIIAII', '1.055\r\n']
['TTLIEVGIS', '1.055\r\n']
['VLGAIIRGG', '1.055\r\n']
['KDVAIIGAS', '1.055\r\n']
['PLIAIGGIT', '1.055\r\n']
['YKAGIFATL', '1.055\r\n']
['YKAGIFATL', '1.055\r\n']
['SQGFFAGVF', '1.055\r\n']
['AVFEAIGYE', '1.055\r\n']
['LITGWIVSR', '1.055\r\n']
['CHGITAEGL', '1.055\r\n']
['ALAINIGTL', '1.055\r\n']
['FFQNAIFIA', '1.055\r\n']
['ARLGGIGIV', '1.055\r\n']
['YLIGGIPFG', '1.055\r\n']
['KRRGVIRVI', '1.055\r\n']
['LIGGIPFGY', '1.055\r\n']
['PSFIRAYAQ', '1.055\r\n']
['VTEVRARFA', '1.055\r\n']
['NAFLIVDEA', '1.055\r\n']
['ENGTIVHVA', '1.055\r\n']
['ESAAFVGVN', '1.055\r\n']
['IDPIGAAVG', '1.055\r\n']
['NHKIIISIA', '1.055\r\n']
['FQMELAIFI', '1.055\r\n']
['FAFTYIGAF', '1.055\r\n']
['YETAVIQWA', '1.055\r\n']
['NHMGIIPVY', '1.055\r\n']
['IEAGTFHAV', '1.055\r\n']
['IASIIANLG', '1.055\r\n']
['HAKFIGGLI', '1.055\r\n']
['FVPYEAEGI', '1.055\r\n']
['VKGGLIRVN', '1.055\r\n']
['LFGGIALAG', '1.055\r\n']
['LFGGIALAG', '1.055\r\n']
['LFGGIALAG', '1.055\r\n']
['ANPVPINIP', '1.055\r\n']
['SFITIAQFS', '1.055\r\n']
['YSGLTIAAS', '1.055\r\n']
['NGGVCAFID', '1.055\r\n']
['LYKIENAAL', '1.055\r\n']
['AKVGLITDA', '1.055\r\n']
['YQSFLGRIA', '1.055\r\n']
['VKKEGAIPL', '1.055\r\n']
['LKTIAISRI', '1.055\r\n']
['KAAFLVRNA', '1.055\r\n']
['IIYPDIARS', '1.055\r\n']
['SYVATGNIY', '1.055\r\n']
['TSYAFTACG', '1.055\r\n']
['LAQFRGALS', '1.055\r\n']
['ESFGRIVSL', '1.055\r\n']
['SLLLGIDAN', '1.055\r\n']
['FLVTPDFAN', '1.055\r\n']
['GYFILPANA', '1.055\r\n']
['VRYAINNAL', '1.055\r\n']
['YSGTVAGAI', '1.055\r\n']
['FSQVFIGSD', '1.055\r\n']
['IIITGAGLP', '1.055\r\n']
['GDLIGISAL', '1.055\r\n']
['LEATEPVLG', '1.055\r\n']
['AIFGALRAA', '1.055\r\n']
['LKNAFLGLS', '1.055\r\n']
['GFFLGVNFA', '1.055\r\n']
['FKYPIPVGN', '1.055\r\n']
['DMPLIPGVS', '1.055\r\n']
['LMGADHGVL', '1.055\r\n']
['HGRAVAYAT', '1.055\r\n']
['LQSLGVEES', '1.055\r\n']
['LIPGYEAPS', '1.055\r\n']
['IKANRAGVV', '1.055\r\n']
['NGALFLALG', '1.055\r\n']
['KTIGLVGLG', '1.055\r\n']
['FSEAACRAA', '1.055\r\n']
['YQKNDPIIV', '1.055\r\n']
['HAALEAIKS', '1.055\r\n']
['ADKGYAFAV', '1.055\r\n']
['GIGGHLHVG', '1.055\r\n']
['GGFALDALY', '1.055\r\n']
['AREALALAQ', '1.055\r\n']
['LWFIQALTG', '1.055\r\n']
['ARKANGVIV', '1.055\r\n']
['LGDALRPRV', '1.055\r\n']
['DFIGLAYYG', '1.055\r\n']
['LISAGADAI', '1.055\r\n']
['YQVQFAGGQ', '1.055\r\n']
['DDIFSVATI', '1.055\r\n']
['EADAFIQSV', '1.055\r\n']
['IAHALADNI', '1.055\r\n']
['ARDNPLAIV', '1.055\r\n']
['IWSNPAFVA', '1.055\r\n']
['VFNLRGNVF', '1.055\r\n']
['FLALLGARN', '1.055\r\n']
['YFGYDDALY', '1.055\r\n']
['YNGDLALVG', '1.055\r\n']
['GGGAIVSLS', '1.055\r\n']
['QAFDLAIKA', '1.055\r\n']
['VSAYRNNVA', '1.055\r\n']
['IKKALGEPV', '1.055\r\n']
['YTPLDIASQ', '1.055\r\n']
['TIKAGAVLD', '1.055\r\n']
['DLEITSPVS', '1.055\r\n']
['NVAAIIMSP', '1.055\r\n']
['VNAAHNPLS', '1.055\r\n']
['LQGVGASIG', '1.055\r\n']
['FLSVRGESI', '1.055\r\n']
['VFAGFSPEA', '1.055\r\n']
['NVKGVDYRL', '1.055\r\n']
['GASIQGGVL', '1.055\r\n']
['FMFHSIPAF', '1.055\r\n']
['SAYALNALE', '1.055\r\n']
['IIDLPGTYA', '1.055\r\n']
['FFATTAQHL', '1.055\r\n']
['KKFGQVHHA', '1.055\r\n']
['FLEGFMVPA', '1.055\r\n']
['FLGSGVFTS', '1.055\r\n']
['IVETQAGDV', '1.055\r\n']
['LGFALAGSS', '1.055\r\n']
['LGFALAGSS', '1.055\r\n']
['FLKGVIGKS', '1.055\r\n']
['FGLGAIKGV', '1.055\r\n']
['QVAINNQLA', '1.055\r\n']
['FASSFGVFG', '1.055\r\n']
['ASKELPLAS', '1.055\r\n']
['TFSHEVAKI', '1.055\r\n']
['TFSHEVAKI', '1.055\r\n']
['AQTLLPDAS', '1.055\r\n']
['LMASLNIIS', '1.055\r\n']
['YNGVTGQLL', '1.055\r\n']
['FLYDFSRPF', '1.055\r\n']
['FYFIQSRFS', '1.055\r\n']
['GEPAIAKLL', '1.055\r\n']
['GKALEKAIV', '1.055\r\n']
['GHLTHGAKV', '1.055\r\n']
['YTYALSIGT', '1.055\r\n']
['PIAIIDGIS', '1.054\r\n']
['HFRAFGEIV', '1.054\r\n']
['VKDFGIGAL', '1.054\r\n']
['GQYGFRIVA', '1.054\r\n']
['YDYFIAGHS', '1.054\r\n']
['WISTIAFIA', '1.054\r\n']
['NGVEFGVRV', '1.054\r\n']
['KYIGIRGVF', '1.054\r\n']
['LNGTEVVIT', '1.054\r\n']
['LKNIPIGTV', '1.054\r\n']
['GWVGFTLIA', '1.054\r\n']
['QIDAIGHRV', '1.054\r\n']
['IEEVEAHAY', '1.054\r\n']
['SYKIEVGGL', '1.054\r\n']
['TLTNEGVIV', '1.054\r\n']
['DSPIDAAVS', '1.054\r\n']
['DKSVDIAIP', '1.054\r\n']
['QKGIISFVG', '1.054\r\n']
['TLKTIAILG', '1.054\r\n']
['FSWECEALA', '1.054\r\n']
['DSLARGVIS', '1.054\r\n']
['KLYEGVATP', '1.054\r\n']
['NDSEAVAFV', '1.054\r\n']
['AQAEILNLA', '1.054\r\n']
['AQAEILNLA', '1.054\r\n']
['ASGAFYTAL', '1.054\r\n']
['HRGALVIGT', '1.054\r\n']
['LFEGLYEFA', '1.054\r\n']
['FICAGAFDG', '1.054\r\n']
['SKEGGLVIY', '1.054\r\n']
['GHYATPIAF', '1.054\r\n']
['FINLIGGAL', '1.054\r\n']
['LFINLIGGA', '1.054\r\n']
['ISLAYENIA', '1.054\r\n']
['NKLNPVFIA', '1.054\r\n']
['SGAFYTALA', '1.054\r\n']
['ISTPIGALS', '1.054\r\n']
['IYGLEVGGA', '1.054\r\n']
['FLRSIAFFD', '1.054\r\n']
['IVVARGGGS', '1.054\r\n']
['YDSITAALS', '1.054\r\n']
['RIAGLDFAL', '1.054\r\n']
['YHHGFYGLD', '1.054\r\n']
['DIVLGGGIA', '1.054\r\n']
['ISAGVIEKA', '1.054\r\n']
['NVYATPHIG', '1.054\r\n']
['IGGGLAVEY', '1.054\r\n']
['THADLILGQ', '1.054\r\n']
['IPTGAIRSV', '1.054\r\n']
['INYRTIVSA', '1.054\r\n']
['SISTPIGAL', '1.054\r\n']
['TKLLPIGTI', '1.054\r\n']
['LMLVDTAGA', '1.054\r\n']
['VGDRIAQGV', '1.054\r\n']
['FFMGITACA', '1.054\r\n']
['EVDGIVSFG', '1.054\r\n']
['GEGAGALVL', '1.054\r\n']
['ILATTLGAS', '1.054\r\n']
['YAQNLIVTN', '1.054\r\n']
['LWAALGGAI', '1.054\r\n']
['NLQGLILAE', '1.054\r\n']
['TVSSFEIAS', '1.054\r\n']
['FGKIGALYF', '1.054\r\n']
['MLGTLAADV', '1.054\r\n']
['PLSTHARVM', '1.054\r\n']
['GVGALGLEP', '1.054\r\n']
['YHNPICGAG', '1.054\r\n']
['FHAFENLSL', '1.054\r\n']
['FLGIGAYSS', '1.054\r\n']
['FASGLAGIH', '1.054\r\n']
['ALNGLVTGH', '1.054\r\n']
['LGLVLTGGM', '1.054\r\n']
['PLDISDAIA', '1.054\r\n']
['SAVGFGRKV', '1.054\r\n']
['ANGILTVSA', '1.054\r\n']
['DLKTFAPLA', '1.054\r\n']
['YHLPLGEDA', '1.054\r\n']
['NVYQNIAFA', '1.054\r\n']
['SLIGISGTL', '1.054\r\n']
['SVDGRISVK', '1.054\r\n']
['NGDGVPVLS', '1.054\r\n']
['FVIDFGKEL', '1.054\r\n']
['GEACHLEAS', '1.054\r\n']
['YLPSRYWAS', '1.054\r\n']
['YLPSRYWAS', '1.054\r\n']
['FLEFASGVD', '1.054\r\n']
['LIDTQIAPS', '1.054\r\n']
['TQKEALALI', '1.054\r\n']
['DSVLIADMP', '1.054\r\n']
['GELNHAALL', '1.054\r\n']
['VIIATGGSP', '1.054\r\n']
['NAHSVINIA', '1.054\r\n']
['AFFMGITAC', '1.054\r\n']
['VHAANVESE', '1.054\r\n']
['ALGFKGFAL', '1.054\r\n']
['IRGHISVGA', '1.054\r\n']
['HLGLDIQAT', '1.054\r\n']
['VLFGGASFE', '1.054\r\n']
['YNISITALS', '1.054\r\n']
['VKPEIAQSS', '1.054\r\n']
['KTKAIVSFS', '1.054\r\n']
['SNVGYGNLV', '1.054\r\n']
['KTLVISGAT', '1.054\r\n']
['IMIVVGGKT', '1.054\r\n']
['IHAGSVIGG', '1.054\r\n']
['SVMALGTHA', '1.054\r\n']
['YVHGNPTPI', '1.054\r\n']
['ARTIVSGPI', '1.054\r\n']
['IRGLQFHAA', '1.054\r\n']
['NLVIASNAS', '1.054\r\n']
['NFEIQLACG', '1.054\r\n']
['WSLSRTFVA', '1.054\r\n']
['GAFGGVQLA', '1.054\r\n']
['MLVGISNAI', '1.054\r\n']
['ASDHVAQHG', '1.054\r\n']
['TLASDIIQA', '1.054\r\n']
['FVKGFGQAY', '1.054\r\n']
['GLYGFPNSV', '1.054\r\n']
['AFLNDALLG', '1.054\r\n']
['VRSIGSYID', '1.054\r\n']
['ALLDGTSIH', '1.054\r\n']
['LEYAYEKIA', '1.054\r\n']
['FYGDLLLGG', '1.054\r\n']
['NLYGMVFGL', '1.054\r\n']
['LKGSVAGFS', '1.054\r\n']
['LIDSLIARD', '1.054\r\n']
['FFKALALRG', '1.054\r\n']
['IVFTSANFS', '1.054\r\n']
['VCDGFMGNV', '1.054\r\n']
['DFKALLRTL', '1.054\r\n']
['VKKGGLALK', '1.054\r\n']
['YAISLTINS', '1.054\r\n']
['CDGFMGNVV', '1.054\r\n']
['YKSAYALNA', '1.054\r\n']
['YCNPNAPYS', '1.054\r\n']
['IGGFDPLKV', '1.054\r\n']
['EFAESIQVP', '1.054\r\n']
['LTPYFSAGA', '1.054\r\n']
['ILDGIIFAG', '1.053\r\n']
['TPFGIFVEA', '1.053\r\n']
['IGKWIVNAL', '1.053\r\n']
['NYLIPFEAA', '1.053\r\n']
['MMFAHGIIV', '1.053\r\n']
['EQIAIANIL', '1.053\r\n']
['GQGVIEALS', '1.053\r\n']
['DVMIIAGTL', '1.053\r\n']
['YKLEVINAT', '1.053\r\n']
['VIALIGERG', '1.053\r\n']
['KHVNAIEAI', '1.053\r\n']
['KFKIIGGAC', '1.053\r\n']
['TSLGRVWCG', '1.053\r\n']
['NFINLAWVF', '1.053\r\n']
['NVFENVAFA', '1.053\r\n']
['VYATINGFP', '1.053\r\n']
['HLIGLEAIN', '1.053\r\n']
['LNLLEIARS', '1.053\r\n']
['QKLFEAGLI', '1.053\r\n']
['SGQGVIEAL', '1.053\r\n']
['ASAGTIPFL', '1.053\r\n']
['YSVGTITAS', '1.053\r\n']
['AGLIGVTTA', '1.053\r\n']
['AREIGVPAI', '1.053\r\n']
['FQNAIGGVL', '1.053\r\n']
['KGFNVIGVS', '1.053\r\n']
['FKIIGGACK', '1.053\r\n']
['FFMGDIFHV', '1.053\r\n']
['GFVAGAFHK', '1.053\r\n']
['GFVAGAFHK', '1.053\r\n']
['YGFFDYAHA', '1.053\r\n']
['YIWAGGHHL', '1.053\r\n']
['SLRGFAYAF', '1.053\r\n']
['LEAALIGTP', '1.053\r\n']
['KAIGNAEVV', '1.053\r\n']
['LRELHIRLR', '1.053\r\n']
['FGGPVAITA', '1.053\r\n']
['ILGIEGASL', '1.053\r\n']
['GLFFGAQIA', '1.053\r\n']
['VQGLFAAGD', '1.053\r\n']
['FSGLFAGAY', '1.053\r\n']
['NAYGVGFYF', '1.053\r\n']
['DDFGLGILL', '1.053\r\n']
['KIGGVIESL', '1.053\r\n']
['IITTIPAPS', '1.053\r\n']
['YGFRIVASD', '1.053\r\n']
['SSHVFGNYA', '1.053\r\n']
['IGHARGAVF', '1.053\r\n']
['GNVICWSTA', '1.053\r\n']
['IMRGVVATQ', '1.053\r\n']
['GIAPFVANS', '1.053\r\n']
['PFLNEAVAK', '1.053\r\n']
['IAFFYAPNQ', '1.053\r\n']
['LNYALEGVD', '1.053\r\n']
['IYLGGNEVI', '1.053\r\n']
['GLGVGVDAT', '1.053\r\n']
['SMLAVTGVN', '1.053\r\n']
['ARVTVDGAA', '1.053\r\n']
['DAYTLFAPS', '1.053\r\n']
['MHLLGAEVR', '1.053\r\n']
['FRKVGIVNS', '1.053\r\n']
['FRKVGIVNS', '1.053\r\n']
['FRKVGIVNS', '1.053\r\n']
['EHWVVISGM', '1.053\r\n']
['FKGAFLLDA', '1.053\r\n']
['GTEGLLAIL', '1.053\r\n']
['IVADYGAEA', '1.053\r\n']
['VLGGGDTAV', '1.053\r\n']
['AIFALGTTY', '1.053\r\n']
['NAFALAHTI', '1.053\r\n']
['VIAGVTNRP', '1.053\r\n']
['DLDNVGLIA', '1.053\r\n']
['NIEGRVLPL', '1.053\r\n']
['LLSGDVGFG', '1.053\r\n']
['WLANPIYHS', '1.053\r\n']
['DAEGRLVLA', '1.053\r\n']
['GFFAGIQLA', '1.053\r\n']
['VIAGNVGTP', '1.053\r\n']
['IAKEVGALT', '1.053\r\n']
['HHQAQIFDA', '1.053\r\n']
['DHDSIAVIG', '1.053\r\n']
['VRYGPNVFG', '1.053\r\n']
['RLYSLGWIS', '1.053\r\n']
['SYLGYALEE', '1.053\r\n']
['VFEGFNVSQ', '1.053\r\n']
['FRSPILGVN', '1.053\r\n']
['FRSPILGVN', '1.053\r\n']
['AHQGQVFIN', '1.053\r\n']
['NHIACAANA', '1.053\r\n']
['YYLGENFKV', '1.053\r\n']
['WLSGAGRLV', '1.053\r\n']
['IFTAISHAK', '1.053\r\n']
['DTYTLPVGA', '1.053\r\n']
['YNQSIAEAV', '1.053\r\n']
['IGSGCGILG', '1.053\r\n']
['SLFAGLTQS', '1.053\r\n']
['FFYGPPGVG', '1.053\r\n']
['VDAGSAITI', '1.053\r\n']
['LADNIVSAT', '1.053\r\n']
['SELIIAMSY', '1.053\r\n']
['MLGNFVLSS', '1.053\r\n']
['HQISIAFSG', '1.053\r\n']
['YKVGESVGS', '1.053\r\n']
['PFLGNISVG', '1.053\r\n']
['DLRLEASAL', '1.053\r\n']
['QGNLFVSAS', '1.053\r\n']
['HVSGHAAQE', '1.053\r\n']
['FSHGGVPSA', '1.053\r\n']
['FYQFLTGKI', '1.053\r\n']
['MNLEALSAV', '1.053\r\n']
['SLYNFIQKF', '1.053\r\n']
['LSYSFITSG', '1.053\r\n']
['YAARYVAKN', '1.053\r\n']
['QISARVGSF', '1.053\r\n']
['FPNATALSL', '1.053\r\n']
['FSSVVMEEA', '1.053\r\n']
['PKSLAIAKS', '1.053\r\n']
['SVDAITSQA', '1.053\r\n']
['FNVAGLMIA', '1.053\r\n']
['PNAIFIAFS', '1.052\r\n']
['FVGEIEGVS', '1.052\r\n']
['FEGVFFAIG', '1.052\r\n']
['DPLGHIWLS', '1.052\r\n']
['RFHAIYWPA', '1.052\r\n']
['SGVRRIEAV', '1.052\r\n']
['SQAIRIYGY', '1.052\r\n']
['TSAITVAIM', '1.052\r\n']
['FKIIGDAFL', '1.052\r\n']
['DLKGWVGIL', '1.052\r\n']
['FTYIGAFGL', '1.052\r\n']
['IARHRAAWV', '1.052\r\n']
['FMGGFILAL', '1.052\r\n']
['YLAAETEAL', '1.052\r\n']
['IFKALWGIA', '1.052\r\n']
['LLWHTAWSF', '1.052\r\n']
['VRLGDIAEI', '1.052\r\n']
['FKATAFVRA', '1.052\r\n']
['YWAAAVITN', '1.052\r\n']
['FKGWVIPKI', '1.052\r\n']
['GFVGIPGFA', '1.052\r\n']
['TVGIAVDAN', '1.052\r\n']
['PLNFGVRVN', '1.052\r\n']
['PLNFGVRVN', '1.052\r\n']
['IVFFAGGNY', '1.052\r\n']
['PLFGIHNAF', '1.052\r\n']
['IAPEEAYGV', '1.052\r\n']
['EQLGIAHTL', '1.052\r\n']
['MHTIGAVLT', '1.052\r\n']
['LHATPIEPS', '1.052\r\n']
['MNGGVVFGV', '1.052\r\n']
['GKVIGAGLP', '1.052\r\n']
['AAAIGAGLP', '1.052\r\n']
['IEFLGIGAY', '1.052\r\n']
['KDAVFITSA', '1.052\r\n']
['QSFNIAVPT', '1.052\r\n']
['SSDILGAVE', '1.052\r\n']
['LITGGAGFV', '1.052\r\n']
['TTAVLIGDA', '1.052\r\n']
['EKGFLVGAI', '1.052\r\n']
['YKAFRAYLG', '1.052\r\n']
['IHCARIPGN', '1.052\r\n']
['LTGAEVYAT', '1.052\r\n']
['FLNAVDGIS', '1.052\r\n']
['VRFIGISDA', '1.052\r\n']
['GHIAEILSS', '1.052\r\n']
['PICGAGRFA', '1.052\r\n']
['GIHHGVELG', '1.052\r\n']
['CSAKWIAAR', '1.052\r\n']
['TQSPIFNAV', '1.052\r\n']
['AYVDFGNDV', '1.052\r\n']
['FAVIGNDLS', '1.052\r\n']
['ITLAEIQAQ', '1.052\r\n']
['GEVYGIISS', '1.052\r\n']
['DRLARVTVD', '1.052\r\n']
['TGAAVGTVS', '1.052\r\n']
['AFGVNAGFL', '1.052\r\n']
['SYVTTTGAL', '1.052\r\n']
['AAIAGAGPL', '1.052\r\n']
['FLNVGAVRN', '1.052\r\n']
['ISAIFAKEI', '1.052\r\n']
['IIFVPTRAN', '1.052\r\n']
['ILTAVDAGT', '1.052\r\n']
['LSVGPATEA', '1.052\r\n']
['FIEAGAGLL', '1.052\r\n']
['IKGIKAIIP', '1.052\r\n']
['SDSLVIGTS', '1.052\r\n']
['NASGRVELV', '1.052\r\n']
['LGRTAARCI', '1.052\r\n']
['GMVLNAEVA', '1.052\r\n']
['ADFAVALNT', '1.052\r\n']
['FQAITSAIS', '1.052\r\n']
['YKGRVLRPA', '1.052\r\n']
['IRAGVERSV', '1.052\r\n']
['SLSGFTNYV', '1.052\r\n']
['DEVFIGSCM', '1.052\r\n']
['YSVHTDNGV', '1.052\r\n']
['LSATGAGCS', '1.052\r\n']
['GQDAFSVIS', '1.052\r\n']
['CGGHLTHGA', '1.052\r\n']
['SLLGFLEMA', '1.052\r\n']
['LYIGYDYAN', '1.052\r\n']
['GHFVQGHID', '1.052\r\n']
['DYVFNSIGI', '1.052\r\n']
['LEGFELSVT', '1.052\r\n']
['FNVILADSG', '1.052\r\n']
['SGTIVSGVD', '1.052\r\n']
['AKLGFSVES', '1.052\r\n']
['VKAGFTSVM', '1.052\r\n']
['FLEALNALG', '1.052\r\n']
['EASAAVNVG', '1.052\r\n']
['YFGFEPLKI', '1.052\r\n']
['LKALPAGAT', '1.052\r\n']
['SSRLEAVSS', '1.052\r\n']
['LELGVNDPI', '1.052\r\n']
['LTFSIADGL', '1.052\r\n']
['ILMTTIAMV', '1.052\r\n']
['FYQALDNFI', '1.052\r\n']
['LKADPIQAA', '1.052\r\n']
['SEMVVLGRS', '1.052\r\n']
['FDALISGFP', '1.052\r\n']
['PFDAIVSNP', '1.052\r\n']
['LGTFSVARS', '1.052\r\n']
['FESNGLEVV', '1.052\r\n']
['KVGIGPGKV', '1.052\r\n']
['IKFPPYAGA', '1.052\r\n']
['VLSGFAGST', '1.052\r\n']
['QRGGDCIQV', '1.052\r\n']
['VAGTLGNLF', '1.052\r\n']
['MSYDLALGY', '1.052\r\n']
['VDRNGACAI', '1.052\r\n']
['TLVGVTGSG', '1.052\r\n']
['YRALIHDKA', '1.052\r\n']
['IKDAAIKAL', '1.052\r\n']
['IQATKEVIS', '1.052\r\n']
['FNKGVAFSL', '1.052\r\n']
['TTGGLVVQG', '1.052\r\n']
['FDSLNPFAL', '1.052\r\n']
['FLKLNAGEV', '1.052\r\n']
['ANGLLALGA', '1.052\r\n']
['ALNEMVRVA', '1.052\r\n']
['LSYAFTMPF', '1.052\r\n']
['SHPNYALGY', '1.052\r\n']
['PMTTPACPI', '1.052\r\n']
['SAMALGGLL', '1.052\r\n']
